date,total_construction,residential,nonresidential,private,public
1993-01-01,458080,,,344175,113906
1993-02-01,462967,,,343724,119243
1993-03-01,458399,,,338627,119772
1993-04-01,469425,,,342517,126908
1993-05-01,468998,,,347364,121634
1993-06-01,480247,,,351035,129212
1993-07-01,483571,,,354273,129298
1993-08-01,491494,,,361455,130039
1993-09-01,497297,,,365314,131983
1993-10-01,492823,,,366218,126606
1993-11-01,515934,,,383509,132425
1993-12-01,533150,,,395253,137897
1994-01-01,513314,,,386847,126467
1994-02-01,513196,,,388623,124573
1994-03-01,521040,,,395098,125942
1994-04-01,528063,,,404397,123666
1994-05-01,532328,,,406337,125991
1994-06-01,536198,,,404473,131725
1994-07-01,537232,,,403695,133537
1994-08-01,537960,,,404755,133205
1994-09-01,538215,,,406085,132130
1994-10-01,533273,,,397963,135310
1994-11-01,539150,,,408104,131047
1994-12-01,541794,,,406665,135129
1995-01-01,543930,,,410972,132958
1995-02-01,537826,,,407720,130106
1995-03-01,542715,,,406957,135758
1995-04-01,543096,,,405745,137352
1995-05-01,542566,,,402756,139811
1995-06-01,546131,,,403182,142949
1995-07-01,547342,,,409867,137475
1995-08-01,550996,,,406993,144003
1995-09-01,554011,,,411442,142569
1995-10-01,555132,,,411476,143657
1995-11-01,557445,,,413628,143817
1995-12-01,557953,,,417717,140236
1996-01-01,575138,,,428026,147112
1996-02-01,568052,,,429337,138716
1996-03-01,574538,,,434372,140166
1996-04-01,590464,,,442341,148123
1996-05-01,600186,,,447219,152967
1996-06-01,602150,,,458019,144131
1996-07-01,599899,,,452584,147315
1996-08-01,603959,,,459865,144095
1996-09-01,615466,,,465833,149634
1996-10-01,621761,,,470927,150834
1996-11-01,620812,,,469598,151214
1996-12-01,606078,,,461233,144846
1997-01-01,608608,,,463895,144713
1997-02-01,615415,,,465148,150267
1997-03-01,620467,,,467193,153274
1997-04-01,616175,,,463526,152649
1997-05-01,624743,,,471680,153063
1997-06-01,626396,,,471896,154500
1997-07-01,637410,,,480433,156978
1997-08-01,639593,,,483946,155647
1997-09-01,646526,,,493470,153056
1997-10-01,653196,,,496090,157106
1997-11-01,643710,,,490912,152798
1997-12-01,642021,,,487580,154442
1998-01-01,645686,,,496187,149499
1998-02-01,648121,,,500693,147429
1998-03-01,666906,,,519814,147093
1998-04-01,674351,,,523887,150464
1998-05-01,674325,,,527735,146590
1998-06-01,703177,,,545021,158157
1998-07-01,696540,,,536373,160167
1998-08-01,698156,,,542472,155684
1998-09-01,707561,,,547827,159734
1998-10-01,707943,,,549735,158208
1998-11-01,707845,,,550932,156912
1998-12-01,706989,,,546196,160793
1999-01-01,708818,,,548864,159954
1999-02-01,726308,,,559236,167072
1999-03-01,737226,,,570031,167195
1999-04-01,728788,,,561107,167681
1999-05-01,727358,,,562669,164689
1999-06-01,739167,,,572336,166830
1999-07-01,745815,,,575881,169934
1999-08-01,741524,,,572783,168741
1999-09-01,751402,,,582514,168889
1999-10-01,759906,,,589243,170663
